MessageText,Conversation Type,Is Marked as Spam,Manual Classification
Camila here are you still looking for hookup ? add my id Smily24 on whatsChat.surf its just like whtsap.,1,FALSE,Other Site
hi,1,FALSE,Short Greeting
"Heya, you responded to my CityXGuide ad a while back. I am sorry I did not reply to you sooner. I'm not really seeking a commited relationship right this moment, I just would like to find a no strings kind of deal. Atleast for the time being I don't have the time for a relationship, I have been keeping fairly busy with work recently. Would you like to get together for dinner or drinks sometime soon, I have some time tomorrow if you're available. Just so we can get to know each other, we'll need to find out what happens. Find me on CasDates.com I'm TightCurves27 there, I've got allot more pix and a couple videos there. My real phone number is also on there. This is how I get rid of all the fakes and flakes. Talk to you soon. <img>https://api.twilio.com/2010-04-01/Accounts/AC364c6274101b6b137b433c79b795bba2/Messages/MMd285f81533071f5389c434961abea0c3/Media/ME23d99d7abe661141a5b6fb33c88ef205</img>",1,FALSE,Other Site
"Do you know that law enforcement are using City Guide to entrap girls and their customers? The next post you call may be a police officer ready to toss you behind bars. Stop taking that risk, you have a better alternative. Thousands of hot local women are on XoXLocals.com They aren't after money, they just want to be satisfied! It's free to join, they do not even ask you for a credit card number. Its free sex, you can't loose.",1,FALSE,Other Site
<img>https://api.twilio.com/2010-04-01/Accounts/AC364c6274101b6b137b433c79b795bba2/Messages/MM1559fb9151abd730f93f0e003e591359/Media/ME38aee951230213303f567080796096d2</img>,1,FALSE,Image
"Hey,Im Justina frome pof,Looking for date,see my nude mypofgirl.info.53035768",1,FALSE,Other Site
Luna here are you still looking for hookup ? add my id Pinky24 on whatsChat.surf its just like whtsap.,1,FALSE,Other Site
"Do you know that police are using City Guide to arrest escorts and their clients? Next time you call a girl it may result in a night behind bars. You have a better alternative, do not take the risk anymore. Go to XoXLocals.com You can browse thousands of local profiles of hot women in your area. You won't need to pay them to get laid, they give it up for nothing! It doesn't cost anything to join, they don't even require a card number. So what do you got to loose, its free sex, can't go wrong.",1,FALSE,Other Site
Hey,1,FALSE,Short Greeting
"FR57KaNKu5S9n babe i know u, so can we meet outside of my house, nice & private. lift my dress and suck & fuck my pussy.
 Tell me when u spend your 4 me. My userneme- yamigirl just send me a sms with time & place. This is my profile -> datenownextplus.me.91gbOWHtdSs54zPzL",1,TRUE,Other Site
U still around,2,FALSE,Short Greeting
St. Petersburg College Notification: Today is your priority registration date! Register now for Fall 2019: https://dydci.com/aiM7hOa3uo,1,TRUE,Other Site
"Are you looking for a sexy young woman to spend some quality time with? I'm here ready for whatever kind of adventure you might have in mind! There's no rush with me, I provide a totally comfortable experience for $125 an hour. I'm soft and sweet but frisky and naughty all in one package. I promise if you meet me it will be the highlight of your day. I have FuckrNow.com/SinfulDreams as a booking service to keep both of us safe. If you would like to get together you can contact me on there. Trust that feeling saying to live on the wild side a little today and contact me, you will not be disappointed. Your satisfaction is mine. :) <img>https://api.twilio.com/2010-04-01/Accounts/AC364c6274101b6b137b433c79b795bba2/Messages/MM4cc8a73898569372d394007990313000/Media/MEea94dba4750a912e312037c78d327262</img>",1,FALSE,Other Site
"LuckyCharm.cf.6191101145 Horny and need a c-o-c-k candy,Enjoy Your Safe Date,PM Nastya",1,FALSE,Other Site
"Hi there, I'm Jessica. I got your number from a friend. Are you stressed, bored, or are not getting what you want at home? I'll sweep you off your feet with my entrancing eyes, friendly personality, and petite yet curvy body. I'm independent, drama free, and my pictures are really me and taken recent. I've got more pictures on InstaNaughty.com/GFEJess and a few videos also. I also use them for screening new clients for my safety, you can find me on there to setup a date. You'll always leave fully satisfied. <img>https://api.twilio.com/2010-04-01/Accounts/AC364c6274101b6b137b433c79b795bba2/Messages/MM7f1d87103e7b3d9c8100c6526a2294ae/Media/ME64c137485736a5bab3c3647c1eb575fc</img>",1,TRUE,Other Site
Z5y3NusSk>hey someone interested to meet you. she is waiting for you Accept her request here : safetwodate.me.31761,1,FALSE,Other Site
"Are you trying to find a wild woman to fulfill all your greatest desires? On HornyConnects.com/tw61 you will be able to find hundreds of girls in your area. In just a moment you are going to be browsing sex personals ads, rateing pictures, and messaging other members to get together instantly. Our members are real, photo confirmed, local, and looking for sex. They are not after money, they just want to be satisfied! It costs nothing to create a profile and view listings. What are you waiting for, sign up now, hook up today! <img>https://api.twilio.com/2010-04-01/Accounts/AC364c6274101b6b137b433c79b795bba2/Messages/MMcb5b4cd62d8c72ee29fd3d36ea00e89d/Media/MEbb6b5c17b164e16fc6533fd6bfde80ef</img>",1,FALSE,Other Site
A message from the Cook County Sheriff. You can get support at http://bit.ly/2qNN9HO <img>https://api.twilio.com/2010-04-01/Accounts/AC364c6274101b6b137b433c79b795bba2/Messages/MM06765bbbabff9060271de9db5c964352/Media/MEe90224c14edbc3d4d8b40c9af63b79ee</img>,1,FALSE,Law Enforcement
A message from the Cook County Sheriff. You can get support at http://bit.ly/2qNN9HO <img>https://api.twilio.com/2010-04-01/Accounts/AC364c6274101b6b137b433c79b795bba2/Messages/MMbd2592e6318f0fea82d6b8b306fdb661/Media/MEb4e81141cda47020e9f9c6d35a3318dd</img>,1,FALSE,Law Enforcement
"Are you aware that cops are using City X Guide to arrest escorts and their customers? Next time you call an ad it may result in a night behind bars. You have a better alternative, do not take the chance anymore. Thousands of sexy local girls are on XoXLocals.com They are not after money, they just want to be satisfied! It's free to sign up, they don't even ask you for a card number.",1,TRUE,Other Site
"Hi there, I am Jessica. I got your phone number from a friend. Are you bored, stressed out, or simply lookin for a good time? I'll sweep you off your feet with my entrancing eyes, friendly personality, and petite yet curvy body. I'm never in a rush and always discreet. On InstaNaughty.com/GFEJessica I've got some more pictures and a couple videos. I also use them to screen clients for my safety, you can contact me on there to make a date. <img>https://api.twilio.com/2010-04-01/Accounts/AC364c6274101b6b137b433c79b795bba2/Messages/MM552e8c499ace85c89a910d52846ef3d2/Media/ME3a54748407d5ff0c8f729ce8a3a4f78e</img>",1,FALSE,Other Site
"Hiya, a while ago you replied to my City X Guide listing. I'm sorry it took me this long to respond to you. For now I don't desire a relationship with strings, I would like to keep this strictly casual. I would like to get together for a drink, tomorrow works for me if you have some time. I'd just like to get to know you, and then see what happens. Look me up on CasDates.com I am NaughtyPlay there, I have got allot more pix and a couple videos on there. My real phone number is also there. This is how I get rid of all the fakes and flakes. <img>https://api.twilio.com/2010-04-01/Accounts/AC364c6274101b6b137b433c79b795bba2/Messages/MM05344f04a0bf3996ae8a3804fe227685/Media/MEbfde871880476beef54604ac70ebdd2d</img>",1,FALSE,Other Site
pUPZgP5yG>hey someone interested to meet you. she is waiting for you Accept her request here : cuteface.me.87422,1,FALSE,Other Site
Hey my cell phone signal terrible in my house I like to meet you im down for fun i can host lets talk here 3018107950,1,TRUE,Different Number
there? my phone service doesn't work in my apartment I like to meet you im down for fun i can host lets talk here 3018107950,1,TRUE,Different Number
there? my phone service doesn't work in my apartment I like to meet you im down for fun i can host lets talk here 3018107950,1,TRUE,Different Number
Hey! I saw your AD on ADList24.io. what's donation,2,FALSE,Bot Response
Hi are you busy right now,2,FALSE,Bot Response
"Hey bro, this new place is crushing it for me. So many women lookingtodate.me. You should try it!!",1,FALSE,Other Site
"Hey got your text are you wanting to meet up for a quicky?
 my mobile service is bad signal in my apt I just saw your msg.let’s chat here 3017207962",1,TRUE,Different Number
"Hey Im down for everything I can meet up as soon as ur ready my
 cell service is weak in my apt I just saw your msg.let’s chat here 3017155974",1,TRUE,Different Number
"Hey got your text are you wanting to meet up for a quicky?
 my mobile service is weak in my apt I just saw your msg.let’s chat here 3017207952",1,TRUE,Different Number
"Hey got your text are you wanting to meet up for a quicky?
 my
 cell service is bad signal in my apt I just saw your msg.let’s chat here 3017207962",1,TRUE,Different Number
Hey Im down for everything I can meet up as soon as ur ready my phone service is weak in my apt I just saw your msg.let’s chat here 3018107950,1,FALSE,Different Number
"Hello, I'm Jessica. I got your phone number from my friend of mine. Are you bored, stressed, or simply interested in a good time? I'm creative, energetic, sensual, and fun. My pictures are really me and taken recently. I am drama free and independent. On InstaNaughty.com/GFEJess I've got some more pictures and a few videos. I only accept bookings through them, for my security I use them to screen new clients. You'll always leave satisfied. <img>https://api.twilio.com/2010-04-01/Accounts/AC364c6274101b6b137b433c79b795bba2/Messages/MM9c9c945301ef0cb241b5ccd490f0b016/Media/ME143298d9e747fd6c4f61b7f8efb8587c</img>",1,FALSE,Other Site
Hey Im down for everything I can meet up as soon as ur ready my phone service is terrible in my apt I just saw your msg.let’s chat here 3017155974,1,TRUE,Different Number
Hey Im down for everything I can meet up as soon as ur ready my phone service is terrible in my apt I just saw your msg.let’s chat here 3017207952,1,TRUE,Different Number
"Whats up, you responded to my City X Guide listing a bit ago. I'm sorry I didn't respond faster. Right now a serious relationship isn't something I'm trying to find, I just would like to find a no strings attached kind of deal. Would you wanna get together to have dinner or drinks sometime soon, if you have time maybe tomorrow. Find me on CasDates.com I'm SinfulDreams there, I've got allot more pics and a few videos there. My skype and real cell number are on there as well. I do this to weed out the fakes and flakes. <img>https://api.twilio.com/2010-04-01/Accounts/AC364c6274101b6b137b433c79b795bba2/Messages/MMb9866d962875b84cdb4c3c13213884e4/Media/MEff3fb19396c1173916bff1e531af16a4</img>",1,FALSE,Other Site
"Are you ready for a total escape away from all the stress and troubles life has to offer? Then let me to be your sweet escape as I take you to a world of complete bliss! I'm not only easy on the eyes, but I am gentle and openminded as well. With beautiful soft curves, I am the girl nextdoor, the perfect mix of sweet and naughty. There's no rushing with me, I provide a total relaxed encounter for $125/hr. I use FuckrNow.com/NaughtyOne as a screening system inorder to keep us both safe. If you would like to setup a date you can contact me on there. Go with that feeling telling you to live on the wild side a little today and contact me, you won't be disappointed. Your satisfaction is mine. :) <img>https://api.twilio.com/2010-04-01/Accounts/AC364c6274101b6b137b433c79b795bba2/Messages/MM17bfa534cb36dfb4159239ea880d9042/Media/ME08fb67783733ade0a1c62f292cc7d37a</img>",1,FALSE,Other Site
Can I volunteer?,1,FALSE,NA
Hii its TORI im from pof hope you are still looking Im willing to meet whenever you want hit me up on profile http://instantfun.live ID horny26 and we can chat,1,TRUE,Other Site
Hey What's up? I live alone Im very kindhertd and easy going I would like to meet with you hit me up on profile http://instantfun.live ID horny26 and we can chat,1,TRUE,Other Site
"What is GED? And how did you got my contact
 - UN PAYMENT EXECS IDAHO",1,FALSE,NA
"Hey, my name is Jessica. My girlfriend gave me your number. Are you stressed, bored out of your mind, or not getting what you need at home? I will be sure to sweep you off your feet with my sexy eyes, friendly personality, and petite yet curvy body. My photos are real and recent. I am independent and drama free. On InstaNaughty.com/GFEJessica I've got some more photos and a few videos. I only take dates through them, for my safety I use them for screening clients. You will always leave satisfied. <img>https://api.twilio.com/2010-04-01/Accounts/AC364c6274101b6b137b433c79b795bba2/Messages/MM0f67fd72ecfa243c28f3f292c1acdd95/Media/MEe53856fe9a7b6efc7aa9f0c5efae8371</img>",1,TRUE,Other Site
"Hi, Shay.
 This is Pam. This is my cell #. The other # was a text app. I just seen your message.
 Truthfully, I'm not really sure how to answer your question.",1,FALSE,Genuine PV
Emily here how u doing? we talk 3 days ago r u Still looking 4 hookup? then baby add me Cutesy24 on http://Amochat.live Em online atm it's free like Twitter,1,TRUE,Other Site
"Hey, you responded to my City X Guide ad a bit back. I'm sorry I did not reply to you sooner. For the time being a serious relationship isn't something I am trying to find, I'd like to keep this only casual. For now I simply do not have time for a traditional relationship, I've been staying fairly busy with work recently. I would love to meet up to have dinner or drinks, from there we'll just have to find out what happens. I have a photo album and a few videos at ItsAFling.com for you, look me up, I am SexBlondie there. Suppose that is all for now. <img>https://api.twilio.com/2010-04-01/Accounts/AC364c6274101b6b137b433c79b795bba2/Messages/MM6afc7668ec1de36fe162580e62d1c6fc/Media/ME344d3419420ecd6bd099a173827823b4</img>",1,FALSE,Other Site
"Hello, I am replying to you from my City Guide ad. Are you looking for that special something to make you feel just right? I'm ready to have a good time and enjoy each other. I'm not only easy on the eyes, but I am gentle and openminded as well. With wonderful soft curves, I am the girl next door, the perfect mix of sweet and naughty. There is no preasure with me, I provide a totally relaxed encounter for $125 per hour. I have FuckrNow.com/BangTonight as a screening system to keep both of us safe. If you would like to get together you can arrange it on there. If you are looking for a girl who enjoys what she does then I'm your girl, I aim to please, you will never leave unsatisfied :) <img>https://api.twilio.com/2010-04-01/Accounts/AC364c6274101b6b137b433c79b795bba2/Messages/MM9a7c3ca6abbe7a02c229770af94ff7ca/Media/MEa5134b27990b6a8522e98b46f0c53205</img>",1,TRUE,Other Site
"Are you sick of going out with girls who want to play games? Would you rather find girls that are not after a serious relationship, but are actually just wanting to have a good time? The women on NSAMatches.com/v67 are seeking the same thing that you are. They do not want a traditional relationship, just something casual. It only takes a minute to make an a profile and begin talk to beautiful local girls. Are you ready to give something new a shot? <img>https://api.twilio.com/2010-04-01/Accounts/AC364c6274101b6b137b433c79b795bba2/Messages/MMfa43a9934f90e92ba790e4046cbc908c/Media/ME5e2d82f7f1bd2f0b7dccbe5955234154</img>",1,FALSE,Other Site
hi its Kayla I just saw your msg if your down to have fun all night then im your girl Id like to chat here http://prettymatch.us before meetup id carx26,1,TRUE,Other Site
"Do you know that law enforcement are using City Guide to entrap escorts and their customers? The next post you call might be a police officer ready to toss you behind bars. You got a better option, do not take the chance anymore. Thousands of sexy local girls are on XoXLocals.com You do not need to pay them for sex, they give it for nothing! It doesn't cost anything to sign up, they do not even ask you for a credit card number. So what do you have to loose, its free sex, how can you go wrong.",1,TRUE,Other Site
hi its Angel im from pof Hopefully we can make this a long term FWB situation i love orl Lets chat here http://matchsingles.us before meetup id carx26 its free,1,TRUE,Other Site
hey its Katie thanks for messaging Im looking to get hang out and have some fun today Id like to chat here http://prettymatch.us before meetup id carx26,1,TRUE,Other Site
"Natalie, what are your free services?
 Food Banks?",1,TRUE,Genuine PV
"Hi, a while back you responded to my CityXGuide ad. I'm sorry it took me so long to reply to you. I do not want a serious relationship, atleast for now, I am looking for something thats strictly no strings. I would like to meet up for dinner or drinks, tomorrow would be fine for me if you've got time. I'd just like to get to know you, then find out where it goes. I have a picture gallery and a couple vids on CasDates.com for you, look me up, I am BadLilBlond there. My skype and real cell number are there also. I do this to screen for my safety and weed out the flakes and fakes. <img>https://api.twilio.com/2010-04-01/Accounts/AC364c6274101b6b137b433c79b795bba2/Messages/MMe6a06cdf8429a5f66f71600ec774a1ba/Media/MEfa3db1a8e7c0e95348a944f34a15b768</img>",1,TRUE,Other Site
"Hey, it's been a long time! Remember that time I asked you to goonadatewith.me. We can arrange it easily.",1,FALSE,Other Site
which one u like,1,TRUE,NA
Yo Dude!! You totally went home with that woman from last night? Redhothookups.me. You are the man!,1,TRUE,Other Site
Hey bro! I found this new place that is crushing it for me. I am finally winningatdating.me. You should try it!!,1,TRUE,Other Site
Hey you! It's a gorgeous hump day. You going out after work? Someplace with lotsofhotchicks.me,1,TRUE,Other Site
"Hello, I am replying to you from my City Guide ad. Are you seeking that special someone to make you feel just right? I am ready to have a great time and enjoy one another. I'm soft and sweet but frisky and naughty all in one package. I guarantee if you have a date with me it'll be the highlight of your week. My rate is $125 per hour for the girlfriend experience. There is no rush with me, I provide a total comfortable encounter. I have FuckrNow.com/TightTanya as a booking service to keep us both safe. If you would like to setup a date you can arrange it on there. If your looking for a girl who enjoys what she does then I am your girl, I aim to please, you will never leave disappointed :) <img>https://api.twilio.com/2010-04-01/Accounts/AC364c6274101b6b137b433c79b795bba2/Messages/MM161aff6ffecfb6c480229e23c654663a/Media/ME726eaa0507056695130f04d12eda1ab9</img>",1,FALSE,Other Site
"Hi there, I'm responding to you from my City Guide post. R u looking for a total escape away from all the stress and troubles life has to offer? Well allow me to be your sweet escape as I take you to a world of total bliss! I'm soft and sweet but frisky and naughty all in one package. I promise if you meet me it will be the highlight of your week. There is no rush with me, I offer a total relaxed experience for $125/hr. I have FuckrNow.com/BangTonight as a screening system to protect myself. If you would like to get together you can contact me on there. Go with that feeling telling you to live on the wild side a little today and get in touch, you will not regret it. Your satisfaction is mine. :) <img>https://api.twilio.com/2010-04-01/Accounts/AC364c6274101b6b137b433c79b795bba2/Messages/MM3a5092993f3b1d50e40c507df64b5081/Media/ME73d2f51e74928872c8830d4ec8367d0f</img>",1,FALSE,Other Site
datesafely.us.6IEWRjt,1,FALSE,Other Site
datesafely.us.6IEWRjt,1,TRUE,Other Site
"Are you aware that cops are using City X Guide to entrap girls and their customers? Next time you call a girl it might end in a night in jail. Do not take that risk, you have a better alternative. Checkout XoXLocals.com You can search thousands of local profiles of sexy women in your area. They aren't looking for money, they just want sex! No card number required to join.",1,FALSE,Other Site
"Hello, I'm Jessica. My girlfriend gave me your phone number. Are you stressed, bored, or not getting what you want at home? I'll sweep you off your feet with my entrancing eyes, friendly personality, and slim yet curvy body. For an hour my rate is $120. I am never rushed and discreet. I'm independent, drama free, and my pictures are really me and taken taken recently. I have some more pictures on InstaNaughty.com/GFEJessica and a couple videos too. I only take dates through them, for my safety I use them for screening clients. You will always leave fully satisfied. <img>https://api.twilio.com/2010-04-01/Accounts/AC364c6274101b6b137b433c79b795bba2/Messages/MMfebf87f944004f5dcf7d68439e1ec6ff/Media/ME0b1a5a0457cce36e94d04848f64083f4</img>",1,FALSE,Other Site
Hello ;-) I've been home alone all weekend. Getting really restless. I'm looking for company hottotdate.me,1,TRUE,Other Site
Hello ;-) I've been home alone all weekend. Getting really restless. I'm looking for company hottotdate.me,1,FALSE,Other Site
Hello ;-) I've been home alone all weekend. Getting really restless. I'm looking for company hottotdate.me,1,TRUE,Other Site
Hello ;-) I've been home alone all weekend. Getting really restless. I'm looking for company hottotdat.me,1,TRUE,Other Site
Hello ;-) I've been home alone all weekend. Getting really restless. I'm looking for company hottotdat.me,1,FALSE,Other Site
OMG Dude!! Did you go home with that chick last night? Redhothookups.me. Works every time!,1,TRUE,Other Site
What's Up? Did you see this online? Redhothookups.me. It's so perfect,1,TRUE,Other Site
What's Up? Did you see this online? Redhothookups.me. It's so perfect,1,FALSE,Other Site
"Hi, I'm responding to you from my City Guide listing. Are you searching for a attractive young woman to have some quality time with? I am right here ready for whatever kind of adventure you may have in mind! I am soft and sweet but frisky and naughty at the same time. I promise if you have a date with me it will be the highlight of your week. There is no preasure with me, I provide a total comfortable experience for $125 an hour. I use FuckrNow.com/SinfulDreams as a screening service to keep us both safe. If you would like to get together you can arrange it through there. Trust that feeling telling you to live on the wild side a bit today and get in touch, you will not regret it. Your satisfaction is mine. :) <img>https://api.twilio.com/2010-04-01/Accounts/AC364c6274101b6b137b433c79b795bba2/Messages/MMf1745c7d85740e161fcc1d1d2bf50311/Media/MEe1a5d6df51dc300ec6bd89c8d8102ad9</img>",1,TRUE,Other Site
"Hey there, I'm Jessica. I got your phone number from my girlfriend. Are you stressed, bored, or are not getting what you want at home? I'll be sure to sweep you off your feet with my seductive eyes, outgoing personality, and petite yet curvy body. My pictures are really me and taken recently. I'm drama free and independent. On InstaNaughty.com/GFEJessica I've got more pics and a couple videos. I also use them for screening new clients for my security, you can contact me on there to make a date. You'll always leave satisfied. <img>https://api.twilio.com/2010-04-01/Accounts/AC364c6274101b6b137b433c79b795bba2/Messages/MM77746965c45b1d393c87069549b1f96b/Media/MEfdee77210bdfaf80ff42b4955407e7bf</img>",1,FALSE,Other Site
Hello again we Spoke last night I have amazing orl skills lets talk here before meetup http://datingapp.live my id onenight69 I know how to please a man :),1,TRUE,Other Site
Hey its TORI I have amazing orl skills which you will love Lets talk here http://swipemeet.us to know each other ID hotfun23 I know how to please a man :),1,TRUE,Other Site
"Did you know that police is trying to entrap escorts and their clients on City Guide? The next post you call may be a cop waiting to toss you behind bars. Do not take that risk, you have a better option. Thousands of hot local girls are on XoXLocals.com They are not after money, they just want sex! Its free sex, you can't loose.",1,TRUE,Other Site
"Hey,My ID 214553 I would like to chat and meet with you and yes it will be very discreet and fun.??: http://comewithyou??.ml",1,FALSE,Other Site
Hi What's up? we Spoke last night I have amazing orl skills Lets talk here http://swipemeet.us to know each other ID hotfun23 I know how to please a man :),1,TRUE,Other Site
